run_id,key,value,step,timestamp
e88da3699b9b4d59b1fb64aea2b36c83,loss,2732290.75,0,1685299243878
e88da3699b9b4d59b1fb64aea2b36c83,loss,2727802.5,1,1685299263579
e88da3699b9b4d59b1fb64aea2b36c83,loss,2726745,2,1685299279912
e88da3699b9b4d59b1fb64aea2b36c83,loss,2725481.75,3,1685299295843
e88da3699b9b4d59b1fb64aea2b36c83,loss,2724526.75,4,1685299311839
e88da3699b9b4d59b1fb64aea2b36c83,loss,2723564,5,1685299327999
e88da3699b9b4d59b1fb64aea2b36c83,loss,2722938.5,6,1685299344603
e88da3699b9b4d59b1fb64aea2b36c83,loss,2722343,7,1685299360843
e88da3699b9b4d59b1fb64aea2b36c83,loss,2722452.25,8,1685299377912
e88da3699b9b4d59b1fb64aea2b36c83,loss,2721527,9,1685299394216
e88da3699b9b4d59b1fb64aea2b36c83,loss,2721684,10,1685299409942
e88da3699b9b4d59b1fb64aea2b36c83,loss,2721349.5,11,1685299426172
e88da3699b9b4d59b1fb64aea2b36c83,loss,2721217,12,1685299442181
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720743,13,1685299458116
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720161.75,14,1685299474207
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720523,15,1685299491685
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720957.25,16,1685299508690
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720915.5,17,1685299525132
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720431.25,18,1685299542218
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720340.75,19,1685299559196
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720925.5,20,1685299574882
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720085.25,21,1685299590677
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720358,22,1685299607068
e88da3699b9b4d59b1fb64aea2b36c83,loss,2720123.5,23,1685299623574
e88da3699b9b4d59b1fb64aea2b36c83,loss,2719945.75,24,1685299640452
e88da3699b9b4d59b1fb64aea2b36c83,loss,2719839.75,25,1685299656984
